index,genres,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
2321,reggaeton colombiano,0.6651118376344916,0.316279317950558,0.6949516032065932,0.7017192499580536,0.02377813356098111,0.17576326722587896,0.12242092413998945
2322,reggaeton cristiano,0.3248,0.22744499999999998,0.5122,0.7622000000000001,4.8182e-05,0.4294,0.03784
2323,reggaeton flow,0.6310627833868515,0.2243958229957328,0.7375674574372802,0.7028519989174626,0.043580113901680366,0.1853019142770174,0.14798727799313086
2324,reggaeton mexicano,0.8759999999999999,0.0532,0.847,0.736,0.00014199999999999998,0.0302,0.266
2325,regional mexican,0.8073920287266622,0.3789834518525882,0.6905866962673763,0.6292033946220841,0.017552533394162538,0.15660461980521387,0.06408410560397595
2326,relaxative,0.36541666666666667,0.5675888888888889,0.7081944444444445,0.3914166666666666,1.4533333333333334e-05,0.1400388888888889,0.05371111111111112
2327,renaissance,0.32379615384615384,0.8821538461538458,0.3639564102564104,0.13595179487179485,0.6184038461538461,0.1573974358974359,0.08273846153846152
2328,rennes indie,0.91525,0.15085,0.7407499999999999,0.7229999999999999,0.17912765000000008,0.1188,0.036425
2329,retro metal,0.4889285714285715,0.03071428571428572,0.4082142857142857,0.8163571428571429,0.41591128571428576,0.11746428571428573,0.04642142857142857
2330,retro soul,0.6409366666666667,0.2275703333333333,0.5758633333333333,0.6427766666666667,0.01892419626666667,0.16551066666666664,0.04684533333333333
2331,rhode island indie,0.5326666666666666,0.5377413333333333,0.498,0.5009333333333333,0.17645289666666664,0.18826,0.04032
2332,rhode island rap,0.5486363636363637,0.11638181818181816,0.6972727272727274,0.6678181818181819,7.972727272727273e-07,0.20181818181818184,0.13385454545454545
2333,rhythm and blues,0.7004418732524936,0.6253779937658657,0.5521131038531562,0.4698780175693536,0.02410777585339409,0.1965063297601368,0.06769808926394852
2334,riddim,0.7525238095238097,0.14765564425770314,0.7028837535014006,0.6942633053221288,0.00443058705882353,0.1651736694677871,0.2734081232492997
2335,rif,0.5464444444444444,0.6022222222222222,0.4911111111111111,0.535,7.420888888888889e-05,0.27265555555555554,0.042077777777777776
2336,riot grrrl,0.6296219047619049,0.07883578619727892,0.4521879591836736,0.8398131292517006,0.1880990041561225,0.17488998639455788,0.06535101700680272
2337,ritmo kombina,0.5053333333333333,0.2513333333333333,0.8450000000000001,0.5783333333333334,4e-05,0.06953333333333334,0.11166666666666664
2338,rochester mn indie,0.4956333333333334,0.12743023333333334,0.6445,0.6666666666666666,0.4496671966666667,0.28,0.038700000000000005
2339,rochester ny indie,0.8532916666666667,0.010430666666666666,0.7955000000000001,0.6782916666666666,0.019356666666666668,0.112625,0.0419375
2340,rock,0.5163073464169899,0.16336243782892884,0.5006359387844106,0.7048039125462732,0.08991781945313247,0.2121052087902196,0.06584866963601266
2341,rock alternatif francais,0.7979999999999999,0.738,0.672,0.721,0.0389,0.122,0.0621
2342,rock alternativo brasileiro,0.78775,0.5784999999999999,0.5842499999999999,0.6685000000000001,0.2396625,0.21345,0.037525
2343,rock andaluz,0.7655833333333333,0.2266333333333333,0.521,0.7358333333333335,0.002285,0.257025,0.113675
2344,rock baiano,0.6554500000000001,0.47506,0.52325,0.6447,0.00025964600000000004,0.216995,0.106015
2345,rock brasiliense,0.5775,0.10556796666666668,0.5340833333333334,0.5765000000000001,0.04816910000000001,0.13945000000000005,0.04155
2346,rock chapin,0.267,0.622,0.591,0.672,0.0,0.11199999999999999,0.0375
2347,rock cristiano,0.26826235795454545,0.29970303944128784,0.4872892992424242,0.5648446969696971,0.0009810900994318182,0.324655303030303,0.03440686553030303
2348,rock drums,0.5528485134078882,0.20599060617183748,0.5284017300986051,0.6236634728234727,0.18774528530307533,0.17665158219095725,0.053265386604136614
2349,rock en espanol,0.611393249961739,0.21053187267114484,0.6136984235656712,0.6662679137764264,0.038169216397056914,0.1956443197782757,0.05745552826472159
2350,rock gaucho,0.5710000000000001,0.0409,0.568,0.7,7.11e-06,0.0838,0.0258
2351,rock independant francais,0.32486296296296285,0.04558007962962962,0.4868703703703704,0.6547777777777778,0.17220194444444448,0.15509074074074078,0.03605925925925926
2352,rock kapak,0.731,0.33,0.6779999999999999,0.58,1.7e-06,0.114,0.0432
2353,rock keyboard,0.527237176218051,0.2828147564995649,0.5058610111845345,0.6202752106198367,0.233733751579992,0.2279936411706563,0.05857584775957
2354,rock nacional,0.5567424055829229,0.2892881740558293,0.5493334154351394,0.5794524302134649,0.061068970391625614,0.1949192980295567,0.0500483210180624
2355,rock nacional brasileiro,0.6687690476190477,0.2590019714285713,0.5530761904761905,0.6735214285714285,0.043174339714285706,0.20692833333333333,0.05174714285714285
2356,rock pernambucano,0.789,0.7020000000000001,0.7,0.569,1.4e-06,0.114,0.0476
2357,rock progressif francais,0.5830909090909091,0.27162181818181824,0.4102727272727273,0.6631818181818181,0.7613363636363636,0.16436363636363638,0.04595454545454546
2358,rock steady,0.8077105360477155,0.3925441731559743,0.757644941945199,0.5061158181005294,0.14766602161800876,0.14718481969337946,0.10857425236434882
2359,rock urbano mexicano,0.5114385349893162,0.1798655379273505,0.5150556623931624,0.6842338675213676,0.029846013281917744,0.15914598023504276,0.06070204460470085
2360,rock-and-roll,0.6987700916293581,0.5253198137629759,0.5488382610593807,0.5473931757873726,0.037768087282856536,0.19780977340190456,0.05750985540099642
2361,rockabilly,0.7305222361105048,0.5252897279417698,0.5540637208258531,0.5983464263008823,0.05222154864553407,0.2022021069167141,0.0569216517768643
2362,rockabilly en espanol,0.8225937500000001,0.60478125,0.4835937500000001,0.6984999999999999,0.0008793921875,0.31046875,0.04779375000000001
2363,roda de samba,0.7304999999999999,0.496,0.6905,0.4105,1.89e-05,0.1068,0.07869999999999999
2364,romanian classical piano,0.30436102564102563,0.9880273504273503,0.317401282051282,0.1193008034188034,0.7761213675213677,0.13024230769230769,0.04334226495726496
2365,romanian electronic,0.7659999999999999,0.00301,0.8109999999999999,0.907,0.851,0.0517,0.10099999999999999
2366,romanian folk,0.08938750000000001,0.856125,0.374625,0.2651250000000001,0.710125,0.10505,0.0451875
2367,romanian pop,0.6071333333333332,0.06018666666666666,0.7472000000000001,0.8628666666666668,0.006841866666666666,0.10255333333333334,0.04260000000000001
2368,romanian rock,0.4705973428571427,0.7684711666666666,0.4837594285714287,0.376279880952381,0.11774827831166665,0.2149773261904762,0.07288059047619047
2369,romantico,0.6190432098765432,0.5473635802469137,0.5351728395061728,0.464762962962963,0.6553756480246913,0.15260493827160493,0.039438888888888884
2370,roots americana,0.5431911472448058,0.371940309168925,0.5582104787714544,0.5437915085817525,0.06675842353387534,0.19572347786811206,0.03919877597109304
2371,roots reggae,0.740374788957022,0.19065024848773005,0.7427795268690347,0.5433640014369956,0.07452138793509383,0.15101015778113422,0.1539244462182765
2372,roots rock,0.6036219709014355,0.3114828544065677,0.5477941207108534,0.5715073817594173,0.0517673644983204,0.20099153413520604,0.04859926729997247
2373,roots worship,0.31611921172509405,0.4223519749313868,0.4777929469767705,0.4469368257151345,0.007582408816862603,0.15772240383527147,0.05385659448122685
2374,rosary,0.3600489865969272,0.7707172932330828,0.3512844883949003,0.24647195706657946,0.06278693974828375,0.15537384221423126,0.039740299117358616
2375,rumba,0.6619498261796606,0.6213114423375008,0.5879126381466736,0.6030793023711338,0.6396022861330645,0.16356821561148366,0.05290920145067088
2376,rumba congolaise,0.826,0.294,0.535,0.5870000000000001,0.025,0.136,0.128
2377,rune folk,0.3492222222222223,0.4773777777777777,0.4971666666666666,0.4553666666666665,0.5889943333333333,0.16388888888888886,0.07737777777777778
2378,russian alternative rock,0.4883333333333333,0.06176166666666666,0.5091666666666667,0.7821666666666667,0.0028583666666666665,0.2345666666666667,0.03981666666666667
2379,russian ccm,0.1959960000000001,0.17777424,0.3805800000000001,0.5385840000000001,0.036693622800000006,0.315432,0.033228000000000014
2380,russian chanson,0.5746296296296296,0.5927074074074073,0.5587962962962963,0.3330185185185185,0.04703037407407405,0.17397592592592592,0.04905925925925925
2381,russian choir,0.17241666666666666,0.9543333333333334,0.228,0.13546666666666665,0.6831666666666667,0.10583333333333332,0.04051666666666666
2382,russian classical piano,0.11945242549813448,0.9875356666269748,0.29697060470747005,0.04983045743827896,0.8992226454711437,0.13025543155116304,0.04177649914662221
2383,russian dance,0.326,0.00561,0.653,0.945,0.915,0.439,0.096
2384,russian edm,0.49,0.0268,0.43799999999999994,0.856,6.27e-06,0.375,0.0584
2385,russian folk,0.4635013888888889,0.7445638888888889,0.4285666666666666,0.3839819444444445,0.07977190694444444,0.16259555555555558,0.04369763888888889
2386,russian folk rock,0.5363333333333333,0.4450116666666667,0.5916666666666667,0.4506666666666667,0.00011836666666666665,0.18906666666666666,0.033916666666666664
2387,russian jazz,0.758,0.6367333333333334,0.5999166666666668,0.3049166666666667,0.0002249616666666667,0.15876666666666664,0.114125
2388,russian metal,0.4327777777777777,0.02943711111111112,0.5054444444444443,0.8683333333333333,0.0011523355555555553,0.2952222222222222,0.06134444444444447
2389,russian metalcore,0.4327777777777777,0.02943711111111112,0.5054444444444443,0.8683333333333333,0.0011523355555555553,0.2952222222222222,0.06134444444444447
2390,russian modern classical,0.2567795437901031,0.9478363804516668,0.34730068098341565,0.19647324956927373,0.6342163038029969,0.1661653619340369,0.04352508570932656
2391,russian orchestra,0.1331295918367347,0.9432380952380954,0.24376870748299315,0.09784442176870747,0.8245612244897959,0.14206054421768705,0.05563826530612244
2392,russian pop,0.5486545454545454,0.5687818181818182,0.6312727272727273,0.6156036363636364,0.001165109090909091,0.14757272727272727,0.047429090909090914
2393,russian post-punk,0.6422698412698412,0.2704031746031746,0.5911984126984127,0.7195793650793652,0.519584446031746,0.15653253968253966,0.038068253968253966
2394,russian punk,0.441,0.818,0.458,0.4955000000000001,0.0,0.1975,0.11665
2395,russian rock,0.4922285353535353,0.4341818308080808,0.5117607323232324,0.4856133838383839,0.020252675126262616,0.18434059343434347,0.055800820707070715
2396,russian romanticism,0.182532593975101,0.8977087676294818,0.26751258515896104,0.16046601092146887,0.6129781018023618,0.17226550524344333,0.04378989788439357
2397,russian shoegaze,0.4775,0.25130050000000004,0.4685,0.5255,0.7974999999999999,0.09155,0.0283
2398,russian trance,0.27399999999999997,0.000542,0.5329999999999999,0.988,0.8059999999999999,0.10300000000000001,0.0612
2399,rva indie,0.759,0.26899999999999996,0.759,0.684,0.0,0.13,0.0315
2400,rwandan traditional,0.23199999999999998,0.994,0.26625,0.0316,0.36525,0.11225,0.059325
2401,ryukyu ongaku,0.405,0.988,0.48,0.285,0.179,0.12,0.0313
2402,sacramento hip hop,0.6232667948717948,0.10983651666666663,0.6907302564102564,0.6514067948717949,5.821153846153847e-07,0.14894866666666667,0.2478626923076924
2403,sacramento indie,0.4512920873397437,0.07287240283386752,0.4824019097222221,0.7579384874332263,0.13832332785149573,0.17386741720085475,0.05409537393162395
2404,sacred steel,0.5920416666666667,0.266,0.5906666666666667,0.7533124999999999,0.050181383333333336,0.2734375,0.10157708333333336
